Name in documentation	Category	Qty	Full Name	Notes	Supplier 1	Part No	Link	Supplier 2	Part No	Link
28BYJ-48	part	3	Motor							
3mm bolt coupler	part	1	Shaft Couple 3mm							
6mm bolt coupler	part	2	Shaft Couple 6mm							
Camera ribbon	part	1	Raspberry Pi HQ camera ribbon							
Condenser lens	part	1	Plastic condenser							
Jumper wires	part	14	Jumper wires							
M2.5x6mm bolt	part	4	M2.5x6							
M3 bolt	part	20	M3x8 Pan Head Steel		RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
M3 nut	part	21	M3 nut							
M3x30mm bolt	part	1	M3x8 Hex Head Steel							
M3x8mm bolt	part	16	M3x8 Pan Head Steel		RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
M4x10mm bolt	part	12	M4x10 Pan Head Steel		RS	528-817	https://uk.rs-online.com/web/p/machine-screws/0528817/	McMasterCarr	90116A207	https://www.mcmaster.com/90116A207
M6 nut	part	2	M6 nut							
M6x130mm bolt	part	2	M6x130 Hex Head Steel							
Raspberry Pi	part	1	Raspberry Pi Zero							
Resistor	part	1	100 ohm resistor							
RMS objective	part	1	RMS threaded objective							
SD card	part	1	SD Card							
ULN2003	part	3	Motor driver							
